Nombre,Código UTA 2020,Latitud,Longitud,Provincia,Población INDEC,Hogares con agua de red pública,Hogares con desague de cloaca a red pública,Hogares con red de gas,Hogares con heladera,"Total de hogares para variable agua de red pública, gas y heladera",Total de hogares para variable cloaca a red pública,Hogares con tenencia irregular de terreno o vivienda,Cantidad total de viviendas,Hogares con déficit habitacional cuantitativo simple,Hogares con déficit habitacional cuantitativo compuesto,Viviendas irrecuperables,Hogares con Necesidades Básicas Insatisfechas,Hogares con hacinamiento crítico
pirane,34056,-25.5645932,-59.10290413,formosa,64566.0,71.0,4.0,0.0,75.0,17855.0,17888.0,20.0,17294.0,3.0,12.0,1726.0,19.0,8.0
bermejo,34007,-23.755783081,-61.170639038,formosa,14046.0,38.0,0.0,0.0,37.0,3548.0,3568.0,33.0,3284.0,7.0,43.0,1262.0,41.0,22.0
comuna 2,2002,-34.585876008,-58.39499618,ciudad de buenos aires,157932.0,99.0,99.0,97.0,99.0,72903.0,73325.0,9.0,70869.0,3.0,3.0,113.0,2.0,0.0
hucal,42077,-37.722442627,-64.064544678,la pampa,7540.0,88.0,0.0,80.0,97.0,2908.0,2926.0,9.0,2861.0,1.0,3.0,44.0,1.0,0.0
chascomus,6217,-35.4916042,-57.8945611,buenos aires,42277.0,78.0,63.0,64.0,95.0,13903.0,13956.0,8.0,13425.0,3.0,5.0,356.0,4.0,2.0
tucuman capital,90084,-26.82900979,-65.210544181,tucuman,548866.0,97.0,77.0,61.0,94.0,148773.0,148975.0,18.0,133408.0,10.0,13.0,5405.0,9.0,3.0
junin,50035,-33.150900314,-68.408806286,mendoza,37859.0,92.0,43.0,49.0,95.0,10578.0,10591.0,15.0,9949.0,5.0,7.0,134.0,6.0,3.0
itati,18077,-27.351966147,-57.873936254,corrientes,9171.0,77.0,21.0,0.0,82.0,2456.0,2474.0,22.0,2385.0,2.0,8.0,142.0,14.0,5.0
pocito,70070,-31.72999788,-68.56591515,san juan,53162.0,83.0,6.0,30.0,89.0,13154.0,13163.0,30.0,12081.0,8.0,23.0,1974.0,14.0,7.0
1 de mayo,22126,-27.228550345,-58.904050775,chaco,10322.0,81.0,0.0,0.0,85.0,2954.0,2955.0,22.0,2849.0,3.0,9.0,163.0,13.0,5.0
guer aike,78021,-51.8701101,-70.5994988,santa cruz,113267.0,96.0,91.0,96.0,95.0,33809.0,33916.0,11.0,31702.0,6.0,9.0,1003.0,6.0,2.0
esteban echeverria,6260,-34.884979135,-58.477809937,buenos aires,300959.0,51.0,19.0,62.0,97.0,85952.0,85989.0,14.0,77955.0,9.0,13.0,3186.0,10.0,5.0
comuna 9,2009,-34.643796083,-58.519129896,ciudad de buenos aires,161797.0,99.0,97.0,92.0,97.0,56033.0,56587.0,11.0,52355.0,7.0,8.0,315.0,4.0,1.0
leandro n alem,54070,-27.551394441,-55.540137661,misiones,45075.0,62.0,1.0,0.0,84.0,13063.0,13079.0,20.0,12731.0,2.0,8.0,809.0,14.0,3.0
pilcaniyeu,62070,-41.32152141,-70.27466678,rio negro,7428.0,74.0,5.0,68.0,80.0,2360.0,2381.0,13.0,2242.0,5.0,10.0,118.0,12.0,2.0
monte hermoso,6553,-38.995357691,-61.215201593,buenos aires,6499.0,83.0,71.0,56.0,95.0,2331.0,2351.0,14.0,2270.0,2.0,5.0,68.0,5.0,2.0
quilmes,6658,-34.700378406,-58.276642782,buenos aires,582943.0,98.0,59.0,60.0,97.0,177110.0,177234.0,14.0,163717.0,7.0,11.0,7331.0,9.0,3.0
suipacha,6784,-34.7224296,-59.7512909,buenos aires,10081.0,77.0,41.0,72.0,97.0,3204.0,3212.0,11.0,3120.0,2.0,4.0,59.0,4.0,2.0
monte,6547,-35.5785579,-58.9391774,buenos aires,21034.0,75.0,54.0,47.0,97.0,6587.0,6613.0,11.0,6376.0,3.0,5.0,136.0,5.0,3.0
25 de mayo,54119,-27.548253705,-54.761065477,misiones,27754.0,32.0,0.0,0.0,78.0,7529.0,7550.0,20.0,7347.0,2.0,7.0,410.0,15.0,2.0
tandil,6791,-37.350270395,-59.078732973,buenos aires,123871.0,92.0,73.0,45.0,92.0,43155.0,43357.0,9.0,41764.0,3.0,4.0,504.0,3.0,2.0
picunches,58105,-38.34971979,-69.939951421,neuquen,7022.0,82.0,58.0,70.0,82.0,1979.0,1997.0,18.0,1915.0,3.0,7.0,83.0,13.0,7.0
cainguas,54014,-27.117297152,-54.697852783,misiones,53403.0,55.0,0.0,0.0,79.0,14387.0,14413.0,19.0,13998.0,2.0,7.0,688.0,15.0,4.0
empedrado,18042,-27.70578113,-58.68808341,corrientes,15109.0,64.0,5.0,0.0,80.0,4055.0,4079.0,22.0,3905.0,3.0,17.0,578.0,18.0,7.0
castelli,6168,-36.1352289,-57.7158097,buenos aires,8205.0,80.0,71.0,94.0,99.0,2721.0,2738.0,10.0,2666.0,2.0,3.0,38.0,4.0,2.0
ramallo,6665,-33.6241496,-60.0461017,buenos aires,33042.0,93.0,68.0,54.0,93.0,10201.0,10217.0,12.0,9842.0,3.0,5.0,240.0,6.0,2.0
andalgala,10021,-27.619059558,-66.115185422,catamarca,18132.0,93.0,10.0,0.0,88.0,4697.0,4739.0,11.0,4469.0,4.0,6.0,96.0,11.0,5.0
caleu caleu,42014,-38.40961523,-63.4727511,la pampa,2313.0,79.0,0.0,69.0,95.0,741.0,744.0,10.0,695.0,6.0,6.0,3.0,3.0,2.0
candelaria,54021,-27.370332718,-55.535385132,misiones,27040.0,74.0,2.0,0.0,81.0,7299.0,7315.0,33.0,6903.0,5.0,11.0,465.0,16.0,5.0
ayacucho,74007,-32.136513149,-66.854453888,san luis,19087.0,88.0,3.0,0.0,87.0,5534.0,5567.0,16.0,5261.0,4.0,9.0,260.0,14.0,5.0
san juan capital,70028,-31.537197038,-68.525018317,san juan,109123.0,98.0,77.0,83.0,97.0,34049.0,34156.0,13.0,31827.0,6.0,8.0,778.0,4.0,1.0
chicoana,66042,-25.15339187,-65.69363231,salta,20710.0,85.0,24.0,0.0,81.0,4949.0,4954.0,19.0,4055.0,18.0,23.0,280.0,20.0,9.0
guarani,54056,-27.230711492,-54.178775578,misiones,67897.0,29.0,0.0,0.0,72.0,17789.0,17817.0,16.0,17382.0,2.0,9.0,1355.0,20.0,4.0
