departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original
comuna 7,2,ciudad de buenos aires,2018,17,dengue,9,de 35 a 44 anos,1,comuna 7,ciudad de buenos aires,81
comuna 7,2,ciudad de buenos aires,2018,18,dengue,9,de 35 a 44 anos,1,comuna 7,ciudad de buenos aires,82
comuna 7,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,1,comuna 7,ciudad de buenos aires,83
comuna 8,2,ciudad de buenos aires,2018,12,dengue,1,posneonato 29 hasta 365 dias,1,comuna 8,ciudad de buenos aires,84
comuna 8,2,ciudad de buenos aires,2018,15,dengue,10,de 45 a 65 anos,1,comuna 8,ciudad de buenos aires,85
comuna 8,2,ciudad de buenos aires,2018,18,dengue,6,de 15 a 19 anos,1,comuna 8,ciudad de buenos aires,86
comuna 8,2,ciudad de buenos aires,2018,18,dengue,10,de 45 a 65 anos,1,comuna 8,ciudad de buenos aires,87
comuna 8,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,1,comuna 8,ciudad de buenos aires,88
comuna 8,2,ciudad de buenos aires,2018,18,dengue,11,mayores de 65 anos,1,comuna 8,ciudad de buenos aires,89
comuna 8,2,ciudad de buenos aires,2018,19,dengue,4,de 5 a 9 anos,1,comuna 8,ciudad de buenos aires,90
comuna 9,2,ciudad de buenos aires,2018,5,dengue,7,de 20 a 24 anos,1,comuna 9,ciudad de buenos aires,91
