departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
santa barbara,38,jujuy,2023,21,dengue,5,de 10 a 14 anos,1,santa barbara,jujuy,11348,38070,19337
pilar,6,buenos aires,2023,21,dengue,11,mayores de 65 anos,1,pilar,buenos aires,11349,6638,399645
trancas,90,tucuman,2023,21,dengue,11,mayores de 65 anos,1,trancas,tucuman,11350,90112,22380
anta,66,salta,2023,21,dengue,5,de 10 a 14 anos,8,anta,salta,11351,66007,71843
libertador general san martin,22,san luis,2023,21,dengue,11,mayores de 65 anos,3,libertador general san martin,chaco,11352,74063,4253
general san martin,6,cordoba,2023,21,dengue,11,mayores de 65 anos,3,general san martin,buenos aires,11353,14042,148975
anta,66,salta,2023,21,dengue,7,de 20 a 24 anos,8,anta,salta,11354,66007,71843
san fernando,22,chaco,2023,21,dengue,4,de 5 a 9 anos,5,san fernando,chaco,11355,22140,454478
rivadavia,66,mendoza,2023,21,dengue,11,mayores de 65 anos,2,rivadavia,salta,11356,50084,65149
quitilipi,22,chaco,2023,21,dengue,11,mayores de 65 anos,8,quitilipi,chaco,11357,22133,39773
cordoba capital,14,cordoba,2023,21,dengue,11,mayores de 65 anos,33,cordoba capital,cordoba,11358,14014,1474541
famailla,90,tucuman,2023,21,dengue,7,de 20 a 24 anos,2,famailla,tucuman,11359,90028,44083
san pedro,38,buenos aires,2023,21,dengue,5,de 10 a 14 anos,2,san pedro,jujuy,11360,6770,64827
santiago del estero capital,86,santiago del estero,2023,21,dengue,11,mayores de 65 anos,98,santiago del estero capital,santiago del estero,11361,86049,306825
rio hondo,86,santiago del estero,2023,21,dengue,6,de 15 a 19 anos,1,rio hondo,santiago del estero,11362,86147,62943
comuna 8,2,ciudad de buenos aires,2023,21,dengue,6,de 15 a 19 anos,1,comuna 8,ciudad de buenos aires,11363,2008,230380
chicligasta,90,tucuman,2023,21,dengue,11,mayores de 65 anos,1,chicligasta,tucuman,11364,90021,97745
general obligado,82,santa fe,2023,21,dengue,10,de 45 a 65 anos,23,general obligado,santa fe,11366,82049,205315
general guemes,22,chaco,2023,21,dengue,11,mayores de 65 anos,15,general guemes,chaco,11367,22063,79891
12 de octubre,22,chaco,2023,21,dengue,10,de 45 a 65 anos,3,12 de octubre,chaco,11368,22036,27285
cordoba capital,14,cordoba,2023,21,dengue,10,de 45 a 65 anos,17,cordoba capital,cordoba,11369,14014,1474541
tapenaga,22,chaco,2023,21,dengue,11,mayores de 65 anos,1,tapenaga,chaco,11370,22161,4261
san lorenzo,22,chaco,2023,21,dengue,7,de 20 a 24 anos,2,san lorenzo,chaco,11371,22147,16271
general guemes,22,chaco,2023,21,dengue,5,de 10 a 14 anos,4,general guemes,chaco,11372,22063,79891
quitilipi,22,chaco,2023,21,dengue,5,de 10 a 14 anos,1,quitilipi,chaco,11373,22133,39773
banda,86,santiago del estero,2023,21,dengue,11,mayores de 65 anos,8,banda,santiago del estero,11374,86035,169458
rio seco,14,cordoba,2023,21,dengue,9,de 35 a 44 anos,1,rio seco,cordoba,11375,14112,15984
mayor luis j fontana,22,chaco,2023,21,dengue,10,de 45 a 65 anos,18,mayor luis j fontana,chaco,11376,22098,61036
rio hondo,86,santiago del estero,2023,21,dengue,11,mayores de 65 anos,1,rio hondo,santiago del estero,11377,86147,62943
independencia,22,la rioja,2023,21,dengue,9,de 35 a 44 anos,1,independencia,chaco,11378,46105,2614
san justo,14,cordoba,2023,21,dengue,7,de 20 a 24 anos,1,san justo,cordoba,11379,14140,234432
iguazu,54,misiones,2023,21,dengue,11,mayores de 65 anos,1,iguazu,misiones,11380,54063,104465
lanus,6,buenos aires,2023,21,dengue,10,de 45 a 65 anos,2,lanus,buenos aires,11381,6434,462628
el carmen,38,jujuy,2023,21,dengue,8,de 25 a 34 anos,1,el carmen,jujuy,11382,38014,122041
corrientes capital,18,corrientes,2023,21,dengue,6,de 15 a 19 anos,6,corrientes capital,corrientes,11384,18021,422722
9 de julio,22,santa fe,2023,21,dengue,11,mayores de 65 anos,2,9 de julio,chaco,11385,82077,34502
comuna 1,2,ciudad de buenos aires,2023,21,dengue,11,mayores de 65 anos,3,comuna 1,ciudad de buenos aires,11386,2001,258497
leales,90,tucuman,2023,21,dengue,11,mayores de 65 anos,3,leales,tucuman,11387,90056,64792
rivadavia,66,mendoza,2023,21,dengue,10,de 45 a 65 anos,10,rivadavia,salta,11388,50084,65149
chacabuco,22,buenos aires,2023,21,dengue,8,de 25 a 34 anos,1,chacabuco,chaco,11389,6210,53620
yerba buena,90,tucuman,2023,21,dengue,8,de 25 a 34 anos,2,yerba buena,tucuman,11390,90119,102273
